2026-04-28 06:45:12,152 [INFO] ============================================================
2026-04-28 06:45:12,153 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 06:45:12,176 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 06:45:12,176 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 06:45:12,176 [INFO] ============================================================
2026-04-28 06:49:56,508 [INFO] ============================================================
2026-04-28 06:49:56,509 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 06:49:56,635 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 06:49:56,635 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 06:49:56,686 [INFO] ============================================================
2026-04-28 11:08:49,616 [INFO] ============================================================
2026-04-28 11:08:49,635 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 11:08:49,636 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 11:08:49,636 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 11:08:49,637 [INFO] ============================================================
2026-04-28 11:12:03,280 [INFO] ============================================================
2026-04-28 11:12:03,310 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 11:12:03,310 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 11:12:03,310 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 11:12:03,311 [INFO] ============================================================
2026-04-28 11:17:22,748 [INFO] ============================================================
2026-04-28 11:17:22,749 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 11:17:22,749 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 11:17:22,749 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 11:17:22,750 [INFO] ============================================================
2026-04-28 11:18:57,926 [INFO] [0.1%] Processed:50/95,000 | Valid:50 | Sealed:0 | Errors:0 | DB:50
2026-04-28 11:23:57,712 [INFO] [0.2%] Processed:200/95,000 | Valid:200 | Sealed:0 | Errors:0 | DB:200
2026-04-28 11:30:34,067 [INFO] [0.4%] Processed:400/95,000 | Valid:400 | Sealed:0 | Errors:0 | DB:400
2026-04-28 11:35:51,516 [INFO] [0.6%] Processed:550/95,000 | Valid:550 | Sealed:0 | Errors:0 | DB:550
2026-04-28 11:37:28,638 [INFO] [0.6%] Processed:600/95,000 | Valid:600 | Sealed:0 | Errors:0 | DB:600
2026-04-28 11:44:11,436 [INFO] [0.8%] Processed:800/95,000 | Valid:800 | Sealed:0 | Errors:0 | DB:800
2026-04-28 11:50:50,240 [INFO] [1.1%] Processed:1,000/95,000 | Valid:1,000 | Sealed:0 | Errors:0 | DB:1,000
2026-04-28 11:52:40,753 [INFO] [1.1%] Processed:1,050/95,000 | Valid:1,050 | Sealed:0 | Errors:0 | DB:1,050
2026-04-28 11:58:00,084 [INFO] [1.3%] Processed:1,200/95,000 | Valid:1,200 | Sealed:0 | Errors:0 | DB:1,200
2026-04-28 12:04:45,751 [INFO] [1.5%] Processed:1,400/95,000 | Valid:1,400 | Sealed:0 | Errors:0 | DB:1,400
2026-04-28 12:10:03,054 [INFO] [1.6%] Processed:1,550/95,000 | Valid:1,550 | Sealed:0 | Errors:0 | DB:1,550
2026-04-28 12:11:40,092 [INFO] [1.7%] Processed:1,600/95,000 | Valid:1,600 | Sealed:0 | Errors:0 | DB:1,600
2026-04-28 12:18:12,057 [INFO] [1.9%] Processed:1,800/95,000 | Valid:1,800 | Sealed:0 | Errors:0 | DB:1,800
2026-04-28 12:25:52,652 [INFO] [2.1%] Processed:2,000/95,000 | Valid:2,000 | Sealed:0 | Errors:0 | DB:2,000
2026-04-28 12:27:42,647 [INFO] [2.2%] Processed:2,050/95,000 | Valid:2,050 | Sealed:0 | Errors:0 | DB:2,050
